#	time	h
#-----------------------------------------------------------------------------------------------		
		
0.133000000000E-003	-0.200000000000E+003	-0.698438235154E-001
0.292600000000E-003	-0.200000000000E+003	-0.698438235154E-001
0.484120000000E-003	-0.200000000000E+003	-0.698438235154E-001
0.713944000000E-003	-0.200000000000E+003	-0.698438235154E-001
0.989732800000E-003	-0.200000000000E+003	-0.698438235154E-001
0.132067936000E-002	-0.200000000000E+003	-0.698438235154E-001
0.171781523200E-002	-0.200000000000E+003	-0.698438235154E-001
0.219437827840E-002	-0.200000000000E+003	-0.698438235154E-001
0.276625393408E-002	-0.200000000000E+003	-0.698438235154E-001
0.345250472090E-002	-0.200000000000E+003	-0.698438235154E-001
0.427600566508E-002	-0.200000000000E+003	-0.698438235154E-001
0.526420679809E-002	-0.200000000000E+003	-0.698438235154E-001
0.645004815771E-002	-0.200000000000E+003	-0.698438235154E-001
0.787305778925E-002	-0.200000000000E+003	-0.698438235154E-001
0.958066934710E-002	-0.200000000000E+003	-0.698438235154E-001
0.116298032165E-001	-0.200000000000E+003	-0.698438235154E-001
0.140887638598E-001	-0.200000000000E+003	-0.698438235154E-001
0.170395166318E-001	-0.199999999998E+003	-0.698438235671E-001
0.205804199581E-001	-0.199999999998E+003	-0.698438235656E-001
0.248295039498E-001	-0.199999999979E+003	-0.698438247101E-001
0.299284047397E-001	-0.199999999979E+003	-0.698438247386E-001
0.360470856877E-001	-0.199999999996E+003	-0.698438243337E-001
0.433895028252E-001	-0.199999999995E+003	-0.698438240000E-001
0.500000000000E-001	-0.199999999997E+003	-0.698438243960E-001
0.579325966097E-001	-0.199999999954E+003	-0.698438288174E-001
0.674517125414E-001	-0.200000000486E+003	-0.698437563564E-001
0.788746516595E-001	-0.200000000524E+003	-0.698438104785E-001
0.903746516595E-001	-0.199999987547E+003	-0.698442442833E-001
0.101874651659E+000	-0.199999950978E+003	-0.698483543184E-001
0.113374651659E+000	-0.199999936888E+003	-0.698471908274E-001
0.124874651659E+000	-0.199999944641E+003	-0.698477859041E-001
0.125000000000E+000	-0.199999944666E+003	-0.698477873872E-001
0.125150418009E+000	-0.199999944695E+003	-0.698477891520E-001
0.125330919619E+000	-0.199999944731E+003	-0.698477912487E-001
0.125547521551E+000	-0.199999944773E+003	-0.698477937353E-001
0.125807443870E+000	-0.199999944824E+003	-0.698477966783E-001
0.126119350653E+000	-0.199999944885E+003	-0.698478001533E-001
0.126493638792E+000	-0.199999944958E+003	-0.698478042454E-001
0.126942784559E+000	-0.199999945046E+003	-0.698478090491E-001
0.127481759480E+000	-0.199999945152E+003	-0.698478146684E-001
0.128128529384E+000	-0.199999945278E+003	-0.698478212156E-001
0.128904653270E+000	-0.199999945429E+003	-0.698478288092E-001
0.129836001933E+000	-0.199999945611E+003	-0.698478375762E-001
0.130953620328E+000	-0.199999945828E+003	-0.698478476632E-001
0.132294762402E+000	-0.199999946087E+003	-0.698478591201E-001
0.133904132891E+000	-0.199999946397E+003	-0.698478722230E-001
0.135835377478E+000	-0.199999946770E+003	-0.698478864209E-001
0.138152870982E+000	-0.199999947215E+003	-0.698479023448E-001
0.140933863187E+000	-0.199999947742E+003	-0.698479199380E-001
0.144271053833E+000	-0.199999948375E+003	-0.698479381569E-001
0.148275682609E+000	-0.199999949125E+003	-0.698479574939E-001
0.153081237139E+000	-0.199999948864E+003	-0.698481557212E-001
